team,total_points,total_wins,predicted_points_2025,goal_difference,predicted_position_change,confidence_lower,confidence_upper
Manchester City,91,28,91.9,62,0.9000000000000057,91.06606104414904,92.73393895585097
Arsenal,89,28,86.8,62,-2.200000000000003,83.70512686470595,89.89487313529405
Liverpool,82,24,85.2,45,3.200000000000003,78.7953650922755,91.6046349077245
Aston Villa,68,20,65.7,15,-2.299999999999997,62.63152630235909,68.76847369764091
Newcastle United,60,18,65.3,23,5.299999999999997,62.15678765892098,68.44321234107902
Tottenham Hotspur,66,20,64.9,13,-1.0999999999999943,62.5789895985987,67.2210104014013
Chelsea,63,18,62.7,14,-0.29999999999999716,60.6619966387191,64.7380033612809
Manchester United,60,18,55.6,-1,-4.399999999999999,51.752818376674796,59.44718162332521
Crystal Palace,49,13,51.9,-1,2.8999999999999986,49.589512173969005,54.21048782603099
Brentford,39,10,49.3,-9,10.299999999999997,47.639053206480106,50.96094679351989
Brighton and Hove Albion,48,12,49.2,-7,1.2000000000000028,47.6855013822316,50.714498617768406
Fulham,47,13,49.0,-6,2.0,45.85554112255683,52.14445887744317
West Ham United,52,14,47.4,-14,-4.600000000000001,43.70951850477412,51.09048149522588
Bournemouth,48,13,46.8,-13,-1.2000000000000028,45.75633386680836,47.84366613319163
Everton,48,13,46.8,-11,-1.2000000000000028,44.639862409643385,48.96013759035661
Wolverhampton Wanderers,46,13,44.9,-15,-1.1000000000000014,44.48513053455772,45.31486946544228
Nottingham Forest,36,9,40.0,-18,4.0,36.67457890535558,43.32542109464442
Luton Town,26,6,29.2,-33,3.1999999999999993,23.111921666018212,35.28807833398179
Burnley,24,5,27.5,-37,3.5,21.956015627589434,33.04398437241057
Sheffield United,16,3,17.0,-69,1.0,10.684357285880882,23.315642714119118
